time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,la_name,new_la_code,setting_type,placements
202425,Academic year,Local authority,E92000001,England,London,E12000007,309,Haringey,E09000014,Work based placement,12
202425,Academic year,Local authority,E92000001,England,London,E12000007,309,Haringey,E09000014,Total,282
202425,Academic year,Local authority,E92000001,England,London,E12000007,310,Harrow,E09000015,Registered provider with UKPRN,16
202425,Academic year,Local authority,E92000001,England,London,E12000007,310,Harrow,E09000015,Education setting with URN,267
202425,Academic year,Local authority,E92000001,England,London,E12000007,310,Harrow,E09000015,One on one tuition,6
202425,Academic year,Local authority,E92000001,England,London,E12000007,310,Harrow,E09000015,Total,289
202425,Academic year,Local authority,E92000001,England,London,E12000007,311,Havering,E09000016,Registered provider with UKPRN,18
202425,Academic year,Local authority,E92000001,England,London,E12000007,311,Havering,E09000016,Non-maintained further education college,1
202425,Academic year,Local authority,E92000001,England,London,E12000007,311,Havering,E09000016,One on one tuition,48
202425,Academic year,Local authority,E92000001,England,London,E12000007,311,Havering,E09000016,Education setting with URN,81
202425,Academic year,Local authority,E92000001,England,London,E12000007,311,Havering,E09000016,Other unregistered provider,26
202425,Academic year,Local authority,E92000001,England,London,E12000007,311,Havering,E09000016,Total,174
202425,Academic year,Local authority,E92000001,England,London,E12000007,312,Hillingdon,E09000017,Other unregistered provider,1
202425,Academic year,Local authority,E92000001,England,London,E12000007,312,Hillingdon,E09000017,One on one tuition,3
202425,Academic year,Local authority,E92000001,England,London,E12000007,312,Hillingdon,E09000017,Education setting with URN,121
202425,Academic year,Local authority,E92000001,England,London,E12000007,312,Hillingdon,E09000017,Total,125
202425,Academic year,Local authority,E92000001,England,London,E12000007,313,Hounslow,E09000018,Other unregistered provider,35
202425,Academic year,Local authority,E92000001,England,London,E12000007,313,Hounslow,E09000018,Education setting with URN,192
202425,Academic year,Local authority,E92000001,England,London,E12000007,313,Hounslow,E09000018,One on one tuition,48
202425,Academic year,Local authority,E92000001,England,London,E12000007,313,Hounslow,E09000018,Total,275
202425,Academic year,Local authority,E92000001,England,London,E12000007,314,Kingston upon Thames,E09000021,Education setting with URN,144
202425,Academic year,Local authority,E92000001,England,London,E12000007,314,Kingston upon Thames,E09000021,Non-maintained further education college,3
202425,Academic year,Local authority,E92000001,England,London,E12000007,314,Kingston upon Thames,E09000021,Work based placement,1
202425,Academic year,Local authority,E92000001,England,London,E12000007,314,Kingston upon Thames,E09000021,One on one tuition,2
202425,Academic year,Local authority,E92000001,England,London,E12000007,314,Kingston upon Thames,E09000021,Total,150
202425,Academic year,Local authority,E92000001,England,London,E12000007,315,Merton,E09000024,Registered provider with UKPRN,9
202425,Academic year,Local authority,E92000001,England,London,E12000007,315,Merton,E09000024,Education setting with URN,336
202425,Academic year,Local authority,E92000001,England,London,E12000007,315,Merton,E09000024,Total,345
202425,Academic year,Local authority,E92000001,England,London,E12000007,316,Newham,E09000025,Education setting with URN,50
202425,Academic year,Local authority,E92000001,England,London,E12000007,316,Newham,E09000025,One on one tuition,35
202425,Academic year,Local authority,E92000001,England,London,E12000007,316,Newham,E09000025,Total,85
202425,Academic year,Local authority,E92000001,England,London,E12000007,317,Redbridge,E09000026,Other unregistered provider,34
202425,Academic year,Local authority,E92000001,England,London,E12000007,317,Redbridge,E09000026,One on one tuition,49
202425,Academic year,Local authority,E92000001,England,London,E12000007,317,Redbridge,E09000026,Education setting with URN,108
202425,Academic year,Local authority,E92000001,England,London,E12000007,317,Redbridge,E09000026,Total,191
202425,Academic year,Local authority,E92000001,England,London,E12000007,318,Richmond upon Thames,E09000027,One on one tuition,8
202425,Academic year,Local authority,E92000001,England,London,E12000007,318,Richmond upon Thames,E09000027,Non-maintained further education college,7
202425,Academic year,Local authority,E92000001,England,London,E12000007,318,Richmond upon Thames,E09000027,Work based placement,2
202425,Academic year,Local authority,E92000001,England,London,E12000007,318,Richmond upon Thames,E09000027,Education setting with URN,215
202425,Academic year,Local authority,E92000001,England,London,E12000007,318,Richmond upon Thames,E09000027,Total,232
202425,Academic year,Local authority,E92000001,England,London,E12000007,319,Sutton,E09000029,Other unregistered provider,2
202425,Academic year,Local authority,E92000001,England,London,E12000007,319,Sutton,E09000029,Education setting with URN,226
202425,Academic year,Local authority,E92000001,England,London,E12000007,319,Sutton,E09000029,One on one tuition,46
202425,Academic year,Local authority,E92000001,England,London,E12000007,319,Sutton,E09000029,Total,274
202425,Academic year,Local authority,E92000001,England,London,E12000007,320,Waltham Forest,E09000031,Non-maintained further education college,11
202425,Academic year,Local authority,E92000001,England,London,E12000007,320,Waltham Forest,E09000031,One on one tuition,16
202425,Academic year,Local authority,E92000001,England,London,E12000007,320,Waltham Forest,E09000031,Registered provider with UKPRN,55
202425,Academic year,Local authority,E92000001,England,London,E12000007,320,Waltham Forest,E09000031,Education setting with URN,122
202425,Academic year,Local authority,E92000001,England,London,E12000007,320,Waltham Forest,E09000031,Total,204
202425,Academic year,Local authority,E92000001,England,North East,E12000001,390,Gateshead,E08000037,Education setting with URN,202
202425,Academic year,Local authority,E92000001,England,North East,E12000001,390,Gateshead,E08000037,Non-maintained further education college,23
202425,Academic year,Local authority,E92000001,England,North East,E12000001,390,Gateshead,E08000037,Work based placement,5
202425,Academic year,Local authority,E92000001,England,North East,E12000001,390,Gateshead,E08000037,Other unregistered provider,50
202425,Academic year,Local authority,E92000001,England,North East,E12000001,390,Gateshead,E08000037,Total,280
202425,Academic year,Local authority,E92000001,England,North East,E12000001,391,Newcastle upon Tyne,E08000021,Other unregistered provider,36
202425,Academic year,Local authority,E92000001,England,North East,E12000001,391,Newcastle upon Tyne,E08000021,Education setting with URN,229
202425,Academic year,Local authority,E92000001,England,North East,E12000001,391,Newcastle upon Tyne,E08000021,Total,265
202425,Academic year,Local authority,E92000001,England,North East,E12000001,392,North Tyneside,E08000022,Education setting with URN,99
202425,Academic year,Local authority,E92000001,England,North East,E12000001,392,North Tyneside,E08000022,Registered provider with UKPRN,32
202425,Academic year,Local authority,E92000001,England,North East,E12000001,392,North Tyneside,E08000022,Other unregistered provider,12
202425,Academic year,Local authority,E92000001,England,North East,E12000001,392,North Tyneside,E08000022,Non-maintained further education college,18
202425,Academic year,Local authority,E92000001,England,North East,E12000001,392,North Tyneside,E08000022,Total,161
202425,Academic year,Local authority,E92000001,England,North East,E12000001,393,South Tyneside,E08000023,One on one tuition,1
202425,Academic year,Local authority,E92000001,England,North East,E12000001,393,South Tyneside,E08000023,Education setting with URN,131
202425,Academic year,Local authority,E92000001,England,North East,E12000001,393,South Tyneside,E08000023,Total,132
202425,Academic year,Local authority,E92000001,England,North East,E12000001,394,Sunderland,E08000024,Non-maintained further education college,1
202425,Academic year,Local authority,E92000001,England,North East,E12000001,394,Sunderland,E08000024,Registered provider with UKPRN,84
202425,Academic year,Local authority,E92000001,England,North East,E12000001,394,Sunderland,E08000024,One on one tuition,20
202425,Academic year,Local authority,E92000001,England,North East,E12000001,394,Sunderland,E08000024,Work based placement,2
202425,Academic year,Local authority,E92000001,England,North East,E12000001,394,Sunderland,E08000024,Education setting with URN,190
202425,Academic year,Local authority,E92000001,England,North East,E12000001,394,Sunderland,E08000024,Other unregistered provider,35
202425,Academic year,Local authority,E92000001,England,North East,E12000001,394,Sunderland,E08000024,Total,332
202425,Academic year,Local authority,E92000001,England,North East,E12000001,805,Hartlepool,E06000001,Registered provider with UKPRN,5
202425,Academic year,Local authority,E92000001,England,North East,E12000001,805,Hartlepool,E06000001,Work based placement,2
202425,Academic year,Local authority,E92000001,England,North East,E12000001,805,Hartlepool,E06000001,One on one tuition,4
202425,Academic year,Local authority,E92000001,England,North East,E12000001,805,Hartlepool,E06000001,Education setting with URN,57
202425,Academic year,Local authority,E92000001,England,North East,E12000001,805,Hartlepool,E06000001,Total,68
202425,Academic year,Local authority,E92000001,England,North East,E12000001,806,Middlesbrough,E06000002,Other unregistered provider,24
202425,Academic year,Local authority,E92000001,England,North East,E12000001,806,Middlesbrough,E06000002,One on one tuition,35
202425,Academic year,Local authority,E92000001,England,North East,E12000001,806,Middlesbrough,E06000002,Education setting with URN,143
202425,Academic year,Local authority,E92000001,England,North East,E12000001,806,Middlesbrough,E06000002,Total,202
202425,Academic year,Local authority,E92000001,England,North East,E12000001,807,Redcar and Cleveland,E06000003,Education setting with URN,123
