time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,classtype,size,number_of_classes,number_of_pupils,average_class_size
201516,Academic year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,Secondary,Total,280,6182,22.07857143
201516,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000048,Northumberland,Infant (Reception plus KS1),1 to 30,302,7725,25.5794702
201516,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000048,Northumberland,Infant (Reception plus KS1),31 to 35,10,311,31.1
201516,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000048,Northumberland,Infant (Reception plus KS1),36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000048,Northumberland,Infant (Reception plus KS1),Total,312,8036,25.75641026
201516,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000048,Northumberland,KS2,1 to 30,271,6996,25.81549815
201516,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000048,Northumberland,KS2,31 to 35,30,941,31.36666667
201516,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000048,Northumberland,KS2,36 plus,3,108,36
201516,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000048,Northumberland,KS2,Total,304,8045,26.46381579
201516,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000048,Northumberland,Primary,1 to 30,669,16047,23.98654709
201516,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000048,Northumberland,Primary,31 to 35,46,1455,31.63043478
201516,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000048,Northumberland,Primary,36 plus,11,435,39.54545455
201516,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000048,Northumberland,Primary,Total,726,17937,24.70661157
201516,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000048,Northumberland,Secondary,1 to 30,1035,21286,20.56618357
201516,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000048,Northumberland,Secondary,31 to 35,75,2391,31.88
201516,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000048,Northumberland,Secondary,36 plus,2,122,61
201516,Academic year,Local authority,E92000001,England,E12000001,North East,929,E06000048,Northumberland,Secondary,Total,1112,23799,21.40197842
201516,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Infant (Reception plus KS1),1 to 30,168,4398,26.17857143
201516,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Infant (Reception plus KS1),31 to 35,5,155,31
201516,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Infant (Reception plus KS1),36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Infant (Reception plus KS1),Total,173,4553,26.31791908
201516,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,KS2,1 to 30,222,5674,25.55855856
201516,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,KS2,31 to 35,13,416,32
201516,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,KS2,36 plus,1,36,36
201516,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,KS2,Total,236,6126,25.95762712
201516,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Primary,1 to 30,462,11647,25.20995671
201516,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Primary,31 to 35,23,728,31.65217391
201516,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Primary,36 plus,4,149,37.25
201516,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Primary,Total,489,12524,25.61145194
201516,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Secondary,1 to 30,236,4738,20.07627119
201516,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Secondary,31 to 35,11,343,31.18181818
201516,Academic year,Local authority,E92000001,England,E12000002,North West,340,E08000011,Knowsley,Secondary,Total,247,5081,20.5708502
201516,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Infant (Reception plus KS1),1 to 30,480,12676,26.40833333
201516,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Infant (Reception plus KS1),31 to 35,26,812,31.23076923
201516,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Infant (Reception plus KS1),36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Infant (Reception plus KS1),Total,506,13488,26.65612648
201516,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,KS2,1 to 30,561,14348,25.57575758
201516,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,KS2,31 to 35,88,2779,31.57954545
201516,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,KS2,36 plus,0,0,z
201516,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,KS2,Total,649,17127,26.38983051
201516,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Primary,1 to 30,1174,29931,25.49488927
201516,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Primary,31 to 35,124,3912,31.5483871
201516,Academic year,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Primary,36 plus,2,84,42
