time_period,time_identifier,geographic_level,country_code,country_name,region_name,region_code,old_la_code,la_name,new_la_code,setting_type,placement_reason,number_of_placements,denominator,perc_placements
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,926,Norfolk,E10000020,Education setting with UKPRN,Total,25,1605,1.557632398
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,926,Norfolk,E10000020,Education setting with URN,Total,1059,1605,65.98130841
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,926,Norfolk,E10000020,One on one tuition,Total,496,1605,30.90342679
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,926,Norfolk,E10000020,Other unregistered provider,Total,17,1605,1.059190031
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,926,Norfolk,E10000020,Total,Total,1605,1605,100
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,926,Norfolk,E10000020,Total,Mental health need,2,1605,0.124610591
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,926,Norfolk,E10000020,Total,New arrival without a school place,7,1605,0.436137071
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,926,Norfolk,E10000020,Total,Other including pregnancy/childcare,120,1605,7.476635514
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,926,Norfolk,E10000020,Total,Permanent exclusion,419,1605,26.105919
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,926,Norfolk,E10000020,Total,Setting named on EHC plan,1057,1605,65.85669782
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,926,Norfolk,E10000020,Work based placement,Total,8,1605,0.498442367
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,935,Suffolk,E10000029,Education setting with UKPRN,Total,150,876,17.12328767
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,935,Suffolk,E10000029,Education setting with URN,Total,577,876,65.86757991
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,935,Suffolk,E10000029,One on one tuition,Total,2,876,0.228310502
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,935,Suffolk,E10000029,Other unregistered provider,Total,147,876,16.78082192
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,935,Suffolk,E10000029,Total,Total,876,876,100
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,935,Suffolk,E10000029,Total,Other including pregnancy/childcare,210,876,23.97260274
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,935,Suffolk,E10000029,Total,Permanent exclusion,92,876,10.50228311
202425,Academic year,Local authority,E92000001,England,East of England,E12000006,935,Suffolk,E10000029,Total,Setting named on EHC plan,574,876,65.52511416
