time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,la_name,old_la_code,characteristic_grouping,pupil_characteristic,setting_type,pupils
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Placement Reason,Medical condition (physical health need),Total,4
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Placement Reason,Off-site placement for behavioural support,Education setting with URN,77
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Placement Reason,Off-site placement for behavioural support,One on one tuition,13
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Placement Reason,Off-site placement for behavioural support,Other unregistered provider,7
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Placement Reason,Off-site placement for behavioural support,Registered provider with UKPRN,8
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Placement Reason,Off-site placement for behavioural support,Total,105
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Placement Reason,Other,Education setting with URN,14
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Placement Reason,Other,One on one tuition,1
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Placement Reason,Other,Other unregistered provider,2
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Placement Reason,Other,Registered provider with UKPRN,2
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Placement Reason,Other,Total,19
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Placement Reason,Permanent exclusion (where still going through the review process),One on one tuition,1
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Placement Reason,Permanent exclusion (where still going through the review process),Registered provider with UKPRN,1
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Placement Reason,Permanent exclusion (where still going through the review process),Total,2
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Total,Total,Education setting with URN,107
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Total,Total,One on one tuition,29
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Total,Total,Other unregistered provider,10
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Total,Total,Registered provider with UKPRN,11
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E08000024,Sunderland,394,Total,Total,Total,157
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,Placement Reason,Medical condition (mental health need),Education setting with URN,1
202425,Academic year,Local authority,E92000001,England,E12000001,North East,E06000001,Hartlepool,805,Placement Reason,Medical condition (mental health need),One on one tuition,1
